Timestamp,CPU usage_MHZ,CPU usage_%,Memory usage_KB,Memory usage_%,Disk read throughput_KB/s,Disk write throughput_KB/s,Network received throughput_KB/s,Network transmitted throughput_KB/s
1/3/2015 15:00,7822,54.45,6486072,77.32,1748,1340,23,18
1/3/2015 16:00,346,9.64,1543294,73.59,35,16642,1,5
1/3/2015 17:00,1366,9.51,3734608,44.52,2778,12245,213,55
1/3/2015 18:00,1397,9.72,4053375,48.32,41,361,15,48
1/3/2015 19:00,4470,31.12,7330804,87.39,5033,189,6,10
1/3/2015 20:00,343,9.57,1555877,74.19,26,13731,81,112
1/3/2015 21:00,7777,54.13,7683126,91.59,13470,13806,30,29
1/3/2015 22:00,10508,73.14,7582463,90.39,6785,11356,42,28
1/3/2015 23:00,395,11.02,1466329,69.92,1836,35803,13,37
1/4/2015 0:00,368,10.28,1744621,83.19,969,35929,198,62
1/4/2015 1:00,10144,70.61,7626922,90.92,18118,21440,43,70
1/4/2015 2:00,10321,71.84,7570719,90.25,18710,20745,236,110
1/4/2015 3:00,364,10.15,1431306,68.25,85,18105,22,25
1/4/2015 4:00,8746,60.88,7213364,85.99,5275,13343,1,1
1/4/2015 5:00,544,15.16,1790758,85.39,6327,2951,13,7
1/4/2015 6:00,8909,62.01,7901230,94.19,17540,6215,102,125
1/4/2015 7:00,7499,52.2,7297250,86.99,2971,1682,91,91
1/4/2015 8:00,6934,48.27,7006165,83.52,20137,10090,51,69
1/4/2015 9:00,418,11.66,1445357,68.92,33,696,44,46
1/4/2015 10:00,5143,35.8,6211764,74.05,2840,9893,115,23
1/4/2015 11:00,460,12.84,1509740,71.99,4814,17423,19,43
1/4/2015 12:00,1010,47.39,1762656,84.05,876,34305,63,51
1/4/2015 13:00,334,9.32,1396493,66.59,37,18982,31,54
1/4/2015 14:00,367,10.22,1343226,64.05,92,34466,6,8
1/4/2015 15:00,6476,45.08,7727586,92.12,19853,14031,4,11
1/4/2015 16:00,7706,53.64,7436501,88.65,4714,10000,22,22
1/4/2015 17:00,7842,54.59,6418963,76.52,196,308,16,27
1/4/2015 18:00,9419,65.57,7767012,92.59,5610,5415,11,15
1/4/2015 19:00,7448,51.85,7788822,92.85,6209,9160,208,115
1/4/2015 20:00,8917,62.07,6720953,80.12,5304,9857,96,112
1/4/2015 21:00,302,8.41,1316802,62.79,56,33485,8,11
1/4/2015 22:00,8201,57.09,7207492,85.92,12462,9482,57,48
1/4/2015 23:00,9913,69.01,7850898,93.59,16598,15965,79,104
1/5/2015 0:00,9416,65.55,7268729,86.65,55215,18329,43,22
1/5/2015 1:00,4718,32.84,4277351,50.99,3569,11981,20,16
1/5/2015 2:00,332,9.27,1383911,65.99,59,33057,369,277
1/5/2015 3:00,9221,64.19,7699903,91.79,24577,5743,16,21
1/5/2015 4:00,9815,68.32,7643700,91.12,2244,5032,53,41
1/5/2015 5:00,8011,55.77,7716680,91.99,991,2863,26,30
1/5/2015 6:00,5462,38.02,5892997,70.25,2967,8765,30,58
1/5/2015 7:00,7572,52.71,6693270,79.79,1240,1854,285,114
1/5/2015 8:00,8239,57.35,7548908,89.99,1499,3857,1,5
1/5/2015 9:00,1804,12.55,2956984,35.25,47,516,26,27
1/5/2015 10:00,9503,66.15,7895358,94.12,37025,10555,22,24
1/5/2015 11:00,7058,49.13,6446645,76.85,411,350,169,41
1/5/2015 12:00,302,8.42,1544552,73.65,393,8405,21,17
1/5/2015 13:00,4639,32.3,5121245,61.05,3697,12262,212,11
1/5/2015 14:00,6548,45.58,7671382,91.45,1799,448,10,11
1/5/2015 15:00,619,17.26,1340500,63.92,12829,5474,2,8
1/5/2015 16:00,6114,42.56,7660477,91.32,22190,10173,9,13
1/5/2015 17:00,311,8.68,1216138,57.99,87,14195,2,2
1/5/2015 18:00,9058,63.05,7649572,91.19,2186,4142,139,88
1/5/2015 19:00,6842,47.63,7660477,91.32,1074,1637,134,130
1/5/2015 20:00,6983,48.61,7381136,87.99,14462,11729,13,15
1/5/2015 21:00,297,8.29,1346162,64.19,50,13180,3,4
1/5/2015 22:00,7775,54.12,6363598,75.86,11,269,63,47
1/5/2015 23:00,291,8.13,1199361,57.19,204,30166,24,53
1/6/2015 0:00,7143,49.72,7146255,85.19,9291,10156,17,25
1/6/2015 1:00,425,11.85,1182584,56.39,240,9803,13,14
1/6/2015 2:00,9676,67.36,7006165,83.52,3414,3803,21,49
1/6/2015 3:00,7280,50.68,5485311,65.39,14898,19383,17,18
1/6/2015 4:00,8673,60.38,7716680,91.99,2870,3594,7,12
1/6/2015 5:00,367,10.25,1244031,59.32,3571,17081,39,47
1/6/2015 6:00,332,9.26,1451020,69.19,106,14429,65,56
1/6/2015 7:00,7700,53.6,7263695,86.59,1282,1142,55,18
1/6/2015 8:00,795,16.58,2297640,27.39,6,29820,43,30
1/6/2015 9:00,7849,54.64,5647211,67.32,8053,14619,36,64
1/6/2015 10:00,6945,48.34,7750235,92.39,8984,17446,1,1
1/6/2015 11:00,6921,48.18,7710808,91.92,2066,1058,38,41
1/6/2015 12:00,1954,13.6,3510632,41.85,44,232,417,31
1/6/2015 13:00,7774,54.11,6519626,77.72,1965,1159,23,57
1/6/2015 14:00,5782,40.25,7095923,84.59,8729,11008,48,33
1/6/2015 15:00,5342,37.18,4607023,54.92,5049,3744,179,35
1/6/2015 16:00,9860,68.64,7671382,91.45,9193,6708,24,45
1/6/2015 17:00,7344,51.12,6480200,77.25,3750,2145,18,18
1/6/2015 18:00,9082,63.22,7800566,92.99,13589,3010,19,51
1/6/2015 19:00,6793,47.28,6525498,77.79,1264,1550,13,37
1/6/2015 20:00,7948,55.32,7626922,90.92,1091,551,128,40
1/6/2015 21:00,7008,48.78,7616017,90.79,1200,911,38,16
1/6/2015 22:00,283,7.89,449839,21.45,2,28603,16,50
1/6/2015 23:00,297,8.28,1262276,60.19,35,14280,3,19
1/7/2015 0:00,5654,39.36,7381136,87.99,3528,7246,11,17
1/7/2015 1:00,7759,54.01,7465022,88.99,1375,693,54,11
1/7/2015 2:00,7647,53.23,7878580,93.92,1450,3141,8,10
1/7/2015 3:00,6482,45.12,7699903,91.79,194,283,74,68
1/7/2015 4:00,298,8.33,1417465,67.59,1250,28392,12,17
1/7/2015 5:00,6018,41.89,7475928,89.12,4383,5830,53,57
1/7/2015 6:00,334,9.33,1677512,79.99,2739,9214,13,6
1/7/2015 7:00,9687,67.43,7548908,89.99,4411,11489,14,18
1/7/2015 8:00,292,8.15,1360003,64.85,479,2402,2,7
1/7/2015 9:00,8946,62.28,7968339,94.99,7275,2366,8,13
1/7/2015 10:00,8269,57.56,7498577,89.39,1217,4854,63,32
1/7/2015 11:00,8603,59.89,7733458,92.19,2907,3137,24,51
1/7/2015 12:00,6883,47.91,6664749,79.45,3892,719,1,2
1/7/2015 13:00,408,11.39,1771045,84.45,4092,5241,8,5
1/7/2015 14:00,7523,52.37,7548908,89.99,1098,575,12,21
1/7/2015 15:00,11215,78.07,7721714,92.05,10102,8226,1,5
1/7/2015 16:00,282,7.86,700239,33.39,5,27923,25,30
1/7/2015 17:00,1267,8.82,4030726,48.05,35,703,26,33
1/7/2015 18:00,9470,65.92,7654605,91.25,3094,3704,4,5
1/7/2015 19:00,458,12.76,1690095,80.59,3190,5217,20,21
1/7/2015 20:00,6951,48.38,7246918,86.39,3809,549,66,50
1/7/2015 21:00,408,11.38,1123864,53.59,3902,11899,6,11
1/7/2015 22:00,332,9.25,686188,32.72,33,25241,47,52
1/7/2015 23:00,1205,8.39,3499727,41.72,51,479,15,20
1/8/2015 0:00,6624,46.11,6452517,76.92,1849,532,19,25
1/8/2015 1:00,7929,55.2,7599240,90.59,423,4272,30,50
1/8/2015 2:00,5708,39.73,6676493,79.59,9168,3657,18,22
1/8/2015 3:00,780,16.26,7817344,93.19,1114,25945,9,16
1/8/2015 4:00,6728,46.84,7537164,89.85,23742,32763,17,65
1/8/2015 5:00,321,8.96,1393557,66.45,51,20542,52,32
1/8/2015 6:00,6360,44.27,6480200,77.25,5997,5787,66,58
1/8/2015 7:00,5584,38.87,7755268,92.45,9950,4524,48,65
1/8/2015 8:00,8259,57.49,7274601,86.72,6075,3573,13,30
1/8/2015 9:00,250,6.99,1316802,62.79,36,27093,20,25
1/8/2015 10:00,7849,54.64,7716680,91.99,3609,549,9,11
1/8/2015 11:00,8864,61.7,7750235,92.39,1219,4611,4,5
1/8/2015 12:00,1253,8.72,3594518,42.85,60,659,39,23
1/8/2015 13:00,390,10.87,1329385,63.39,4147,12101,2,5
1/8/2015 14:00,319,8.9,700239,33.39,18,24223,21,25
1/8/2015 15:00,8329,57.98,7616017,90.79,1747,1343,26,11
1/8/2015 16:00,3618,25.18,4411569,52.59,1689,1701,1,5
1/8/2015 17:00,5190,36.13,6262935,74.66,12358,7488,19,37
1/8/2015 18:00,287,8.01,1129316,53.85,193,26642,1,1
1/8/2015 19:00,251,7,1290168,61.52,21,6021,5,7
1/8/2015 20:00,287,8.01,916875,43.72,90,26500,363,357
1/8/2015 21:00,291,8.12,641519,30.59,372,26423,30,62
1/8/2015 22:00,4412,30.71,5166544,61.59,1079,5748,8,11
1/8/2015 23:00,309,8.62,1284506,61.25,92,15759,24,50
1/9/2015 0:00,8071,56.18,7308156,87.12,199,1633,20,25
1/9/2015 1:00,1342,9.34,4042470,48.19,556,2954,74,33
1/9/2015 2:00,294,8.2,1685900,80.39,67,9051,59,58
1/9/2015 3:00,5907,41.12,5742002,68.45,27540,12593,3,3
1/9/2015 4:00,1126,7.84,3673372,43.79,33,574,69,58
1/9/2015 5:00,282,7.88,535193,25.52,86,26131,18,28
1/9/2015 6:00,8261,57.5,7397914,88.19,2075,601,9,14
1/9/2015 7:00,3077,21.42,6553181,78.12,2636,15393,15,41
1/9/2015 8:00,7741,53.88,7392042,88.12,594,1762,65,26
1/9/2015 9:00,9699,67.52,7616017,90.79,2557,2639,11,36
1/9/2015 10:00,320,8.91,1188037,56.65,1594,18753,13,11
1/9/2015 11:00,6009,41.83,6586735,78.52,4156,8043,13,30
1/9/2015 12:00,7700,53.6,7626922,90.92,12000,2036,8,16
1/9/2015 13:00,12624,87.8,7408819,88.32,7519,8470,5,5
1/9/2015 14:00,6949,48.37,7475928,89.12,132,416,28,58
1/9/2015 15:00,6482,45.12,6329204,75.45,10,410,15,17
1/9/2015 16:00,229,6.39,1333579,63.59,21,25802,25,30
1/9/2015 17:00,8930,62.16,7683126,91.59,9700,6086,11,6
1/9/2015 18:00,7111,49.5,6446645,76.85,28328,16625,12,18
1/9/2015 19:00,254,7.08,1295830,61.79,10,25731,14,27
1/9/2015 20:00,1129,7.85,3617168,43.12,39,752,211,206
1/9/2015 21:00,257,7.17,818938,39.05,57,25662,13,28
1/9/2015 22:00,299,8.35,1269196,60.52,105,10739,88,31
1/9/2015 23:00,9225,64.22,7157160,85.32,1910,6778,85,89
1/10/2015 0:00,7393,51.46,7280473,86.79,979,1534,10,16
1/10/2015 1:00,7052,49.09,7196587,85.79,21918,3468,1,2
1/10/2015 2:00,8872,61.76,7699903,91.79,4912,3086,38,53
1/10/2015 3:00,293,8.18,1385169,66.05,94,12326,1,2
1/10/2015 4:00,8209,57.14,7280473,86.79,39,651,4,1
1/10/2015 5:00,1695,11.8,3656594,43.59,36,1046,1,2
1/10/2015 6:00,3921,27.29,4300000,51.26,4713,1861,65,25
1/10/2015 7:00,249,6.95,1300025,61.99,18,25419,12,21
1/10/2015 8:00,3187,22.19,6178210,73.65,5291,1072,2,2
1/10/2015 9:00,7219,50.25,7028815,83.79,464,402,25,55
1/10/2015 10:00,278,7.77,1253887,59.79,82,14500,11,35
1/10/2015 11:00,283,7.89,1312607,62.59,868,14433,17,37
1/10/2015 12:00,8866,61.71,7163032,85.39,1148,4512,18,18
1/10/2015 13:00,6647,46.27,7364359,87.79,1191,1844,1,14
1/10/2015 14:00,8124,56.55,8001893,95.39,5414,2815,12,22
1/10/2015 15:00,437,12.19,1302751,62.12,9516,3602,42,47
1/10/2015 16:00,274,7.64,1421659,67.79,14,14414,183,16
1/10/2015 17:00,254,7.08,1265002,60.32,38,9697,16,18
1/10/2015 18:00,8128,56.58,7134511,85.05,3311,7157,5,19
1/10/2015 19:00,336,9.38,1265002,60.32,1657,5110,5,7
1/10/2015 20:00,213,5.95,1374054,65.52,28,25154,32,62
1/10/2015 21:00,9008,62.7,7448245,88.79,3337,4854,7,9
1/10/2015 22:00,9007,62.7,7213364,85.99,5210,4776,26,53
1/10/2015 23:00,8473,58.98,7867676,93.79,3120,285,1,0
1/11/2015 0:00,8837,61.52,7045592,83.99,10429,4235,18,45
1/11/2015 1:00,9506,66.17,7033848,83.85,2790,5968,14,19
1/11/2015 2:00,2936,20.44,3969489,47.32,45,344,15,42
1/11/2015 3:00,361,10.08,1002229,47.79,1148,2625,0,0
1/11/2015 4:00,7286,50.72,7297250,86.99,1328,1014,15,25
1/11/2015 5:00,281,7.84,1494221,71.25,134,12947,150,129
1/11/2015 6:00,8444,58.78,7834121,93.39,7139,6566,1,1
1/11/2015 7:00,7227,50.31,6318300,75.32,14295,2593,33,61
1/11/2015 8:00,2516,17.52,3656594,43.59,82,1130,4,5
1/11/2015 9:00,513,14.31,1277585,60.92,6738,9247,7,3
1/11/2015 10:00,219,6.12,1309671,62.45,36,24800,12,37
1/11/2015 11:00,268,7.49,1382443,65.92,2267,24771,57,57
1/11/2015 12:00,5365,37.35,5585974,66.59,1912,6907,14,27
1/11/2015 13:00,7227,50.31,7532131,89.79,3707,2093,62,87
1/11/2015 14:00,7825,54.47,7163032,85.39,12817,840,1,1
1/11/2015 15:00,6220,43.3,7599240,90.59,4120,1427,45,62
1/11/2015 16:00,7572,52.71,7117734,84.85,41,1779,10,15
1/11/2015 17:00,3924,27.32,5317539,63.39,1683,3179,1,7
1/11/2015 18:00,6657,46.34,7677254,91.52,358,541,69,39
1/11/2015 19:00,264,7.37,772800,36.85,15,12473,78,74
1/11/2015 20:00,258,7.19,1484574,70.79,20,11442,1,2
1/11/2015 21:00,223,6.22,1302751,62.12,31,24510,21,35
1/11/2015 22:00,226,6.3,1513934,72.19,21,24492,5,11
1/11/2015 23:00,7169,49.9,6877820,81.99,1461,1245,6,4
1/12/2015 0:00,9047,62.98,7190715,85.72,9726,6155,1,1
1/12/2015 1:00,244,6.8,1357277,64.72,24,14506,40,56
1/12/2015 2:00,211,5.9,1362939,64.99,27,24314,11,43
1/12/2015 3:00,6933,48.26,6928151,82.59,164,759,36,54
1/12/2015 4:00,239,6.68,1216138,57.99,542,9096,14,20
1/12/2015 5:00,9015,62.75,7324932,87.32,11595,9300,56,89
1/12/2015 6:00,225,6.27,869270,41.45,9,24216,44,48
1/12/2015 7:00,267,7.46,1323722,63.12,15,9922,11,36
1/12/2015 8:00,224,6.26,1337773,63.79,127,24176,5,5
1/12/2015 9:00,6707,46.69,6615256,78.86,77,519,8,12
1/12/2015 10:00,3620,25.19,6681526,79.65,8556,7978,2,4
1/12/2015 11:00,8681,60.43,7448245,88.79,393,974,13,10
1/12/2015 12:00,8876,61.79,7381136,87.99,3299,1383,17,22
1/12/2015 13:00,245,6.84,1463602,69.79,58,23896,106,15
1/12/2015 14:00,349,9.73,1541826,73.52,1556,11065,6,8
1/12/2015 15:00,5444,37.89,5138022,61.25,20596,30345,11,36
1/12/2015 16:00,242,6.75,549244,26.19,0,23911,166,160
1/12/2015 17:00,7909,55.05,7683126,91.59,1063,3746,32,13
1/12/2015 18:00,5890,41,6033087,71.92,19,384,28,24
1/12/2015 19:00,228,6.38,1439695,68.65,25,10075,11,14
1/12/2015 20:00,229,6.4,1446825,68.99,38,12057,5,27
1/12/2015 21:00,254,7.08,1283247,61.19,38,13064,15,40
1/12/2015 22:00,265,7.38,1228721,58.59,555,12888,32,49
1/12/2015 23:00,237,6.6,1333579,63.59,34,14920,35,34
1/13/2015 0:00,7384,51.4,7012037,83.59,49,603,47,16
1/13/2015 1:00,6697,46.62,6810711,81.19,1440,2279,48,47
1/13/2015 2:00,308,8.59,1287442,61.39,3179,8722,30,17
1/13/2015 3:00,248,6.92,1319528,62.92,18,14940,5,3
1/13/2015 4:00,215,6,1320996,62.99,20,23669,11,16
1/13/2015 5:00,5400,37.59,7285506,86.85,11981,8302,1,8
1/13/2015 6:00,214,5.99,1660735,79.19,7,4435,13,39
1/13/2015 7:00,7988,55.6,7817344,93.19,1920,1856,11,41
1/13/2015 8:00,261,7.3,989646,47.19,77,2753,24,37
1/13/2015 9:00,7774,54.12,7448245,88.79,348,810,11,35
1/13/2015 10:00,224,6.26,1404882,66.99,601,23636,15,16
1/13/2015 11:00,6339,44.13,7095923,84.59,5166,8633,300,110
1/13/2015 12:00,245,6.84,1329385,63.39,43,2953,26,60
1/13/2015 13:00,2903,20.21,6122845,72.99,3034,9229,1,1
1/13/2015 14:00,207,5.78,967206,46.12,8,23463,63,64
1/13/2015 15:00,3439,23.93,7666349,91.39,7722,12640,129,58
1/13/2015 16:00,208,5.81,1397752,66.65,28,23434,1,1
1/13/2015 17:00,6266,43.62,6877820,81.99,27969,14655,21,44
1/13/2015 18:00,209,5.84,1388105,66.19,32,23406,60,86
1/13/2015 19:00,6553,45.62,6810711,81.19,829,3920,166,101
1/13/2015 20:00,240,6.7,1316802,62.79,33,22734,11,35
1/13/2015 21:00,294,8.19,1288700,61.45,2243,2815,9,28
1/13/2015 22:00,4166,29,6849299,81.65,905,529,14,40
1/13/2015 23:00,197,5.5,1406140,67.05,30,23292,13,36
1/14/2015 0:00,234,6.52,1378248,65.72,26,12581,16,22
1/14/2015 1:00,253,7.05,1300025,61.99,27,7881,18,17
1/14/2015 2:00,275,7.68,1308413,62.39,349,13379,5,8
1/14/2015 3:00,233,6.51,1336305,63.72,30,14625,10,13
1/14/2015 4:00,7030,48.93,6626161,78.99,1462,3735,19,44
1/14/2015 5:00,7238,50.39,6894597,82.19,1159,5319,7,9
1/14/2015 6:00,223,6.23,1430048,68.19,31,13178,34,50
1/14/2015 7:00,231,6.46,1375522,65.59,18,11329,53,64
1/14/2015 8:00,3622,25.21,6961706,82.99,1738,5002,9,17
1/14/2015 9:00,202,5.63,1330643,63.45,29,23150,3,4
1/14/2015 10:00,206,5.76,1622986,77.39,17,22809,16,22
1/14/2015 11:00,219,6.12,1801873,85.92,150,282,19,30
1/14/2015 12:00,231,6.45,1305477,62.25,38,12802,8,13
1/14/2015 13:00,231,6.45,1354550,64.59,10,23132,11,14
1/14/2015 14:00,342,9.54,1279053,60.99,5107,6394,1,3
1/14/2015 15:00,235,6.55,1354550,64.59,51,13291,16,25
1/14/2015 16:00,207,5.78,1400688,66.79,33,23694,10,13
1/14/2015 17:00,7477,52.05,7783789,92.79,5697,7352,16,41
1/14/2015 18:00,199,5.55,1347420,64.25,24,23064,14,40
1/14/2015 19:00,207,5.79,1539100,73.39,142,23058,104,14
1/14/2015 20:00,224,6.25,1313866,62.65,28,10044,1,0
1/14/2015 21:00,221,6.16,1320996,62.99,31,6639,1,1
1/14/2015 22:00,5608,39.04,6760379,80.59,19278,14994,27,45
1/14/2015 23:00,6682,46.51,7095923,84.59,718,2335,23,13
1/15/2015 0:00,312,8.72,1221591,58.25,85,11895,1,2
1/15/2015 1:00,9886,68.82,7582463,90.39,2159,3856,20,44
1/15/2015 2:00,986,6.86,5037359,60.05,70,5373,3,5
1/15/2015 3:00,227,6.35,1576849,75.19,52,22923,53,59
1/15/2015 4:00,197,5.51,1409076,67.19,26,22889,17,17
1/15/2015 5:00,230,6.41,1513934,72.19,17,22895,7,10
1/15/2015 6:00,1308,9.11,2850449,16.99,0,1579,18,25
1/15/2015 7:00,1133,7.89,3701054,44.12,34,308,6,10
1/15/2015 8:00,5281,36.76,6513754,77.65,24,269,21,53
1/15/2015 9:00,2203,15.33,6715081,80.05,5348,7175,1,1
1/15/2015 10:00,240,6.7,1190973,56.79,175,22898,11,10
1/15/2015 11:00,227,6.34,1467797,69.99,22,22763,11,35
1/15/2015 12:00,8254,57.46,7481800,89.19,13893,10417,9,11
1/15/2015 13:00,5950,41.41,6693270,79.79,1254,1180,11,44
1/15/2015 14:00,215,6.01,1354550,64.59,819,22712,13,38
1/15/2015 15:00,256,7.13,1290168,61.52,35,9320,11,35
1/15/2015 16:00,8965,62.41,7033848,83.85,29732,13954,11,12
1/15/2015 17:00,350,9.77,1572654,74.99,4497,15730,1,1
1/15/2015 18:00,195,5.46,1427112,68.05,80,22645,78,64
1/15/2015 19:00,268,7.49,1277585,60.92,1561,12943,78,56
1/15/2015 20:00,5903,41.09,6106068,72.79,912,7431,14,39
1/15/2015 21:00,233,6.5,1325190,63.19,19,11684,30,8
1/15/2015 22:00,240,6.7,1304219,62.19,36,11949,96,12
1/15/2015 23:00,228,6.37,1291636,61.59,20,13737,11,36
1/16/2015 0:00,248,6.92,1137705,54.25,230,14111,14,41
1/16/2015 1:00,9479,65.98,7727586,92.12,7135,1113,19,36
1/16/2015 2:00,4199,29.23,7582463,90.39,9705,13113,17,49
1/16/2015 3:00,216,6.04,1318060,62.85,33,4637,11,36
1/16/2015 4:00,6374,44.37,6983516,83.25,1225,3059,60,28
1/16/2015 5:00,8860,61.67,7481800,89.19,9010,4446,8,7
1/16/2015 6:00,4646,32.34,6564086,78.25,2665,13025,15,44
1/16/2015 7:00,7001,48.74,6777156,80.79,1782,4813,1,1
1/16/2015 8:00,206,5.76,1332111,63.52,27,22478,1,8
1/16/2015 9:00,221,6.17,1279053,60.99,27,11353,6,6
1/16/2015 10:00,231,6.44,1252419,59.72,30,11418,9,17
1/16/2015 11:00,226,6.3,1155950,55.12,17,22513,169,77
1/16/2015 12:00,1270,8.84,2268280,13.52,0,949,3,8
1/16/2015 13:00,1443,10.04,5188354,61.85,83,3523,1,1
1/16/2015 14:00,249,6.96,1032847,49.25,103,22454,118,34
1/16/2015 15:00,6794,47.3,6626161,78.99,221,482,1,1
1/16/2015 16:00,5096,35.47,6849299,81.65,12331,20747,11,17
1/16/2015 17:00,5719,39.81,6888725,82.12,2971,1629,13,22
1/16/2015 18:00,8217,57.2,7397914,88.19,9515,5261,35,47
1/16/2015 19:00,5846,40.69,6642939,79.19,1182,277,14,23
1/16/2015 20:00,220,6.15,1276117,60.85,26,9205,1,1
1/16/2015 21:00,227,6.35,1322254,63.05,35,13910,1,1
1/16/2015 22:00,196,5.47,1372586,65.45,32,22128,20,16
1/16/2015 23:00,228,6.35,1270664,60.59,34,11816,1,1
1/17/2015 0:00,3981,27.71,3963617,47.25,4029,11332,79,8
1/17/2015 1:00,3198,22.26,5255463,62.65,3427,4517,11,35
1/17/2015 2:00,332,9.26,1629907,77.72,3319,12576,11,35
1/17/2015 3:00,211,5.9,1673318,79.79,30,22256,29,48
1/17/2015 4:00,306,8.53,1130784,53.92,5350,22140,1,1
1/17/2015 5:00,268,7.48,1302751,62.12,29,10823,1,1
1/17/2015 6:00,229,6.38,1070596,51.05,291,22227,39,9
1/17/2015 7:00,224,6.26,1271923,60.65,24,12304,195,87
1/17/2015 8:00,7210,50.19,6844265,81.59,279,4149,67,96
1/17/2015 9:00,5215,36.3,6284745,74.92,3873,2178,6,5
1/17/2015 10:00,283,7.91,1347420,64.25,1164,10917,13,39
